turkish,english
fotoğraf,Photograph
döneceğim,I will come
hayatımda,in my life
kedi,cat
kişiyi,the person
buyurun,here
ilaç,medicine
mutluyum,I'm happy
sırf,sheer
cesur,brave
birbirimizi,each other
öldüğünü,that he died
umut,hope
bilirim,I know
gittin,you went
sinir,border
arayıp,call and call
yapacağını,what
tutmak,to hold
bırakıp,quit
konuşalım,let's talk
budur,This is
konuşmayı,to talk
doğu,East
zamanımız,Our time
dediğim,what I say
sıradaki,Next
cuma,Friday
hayalet,ghost
edeceksin,you will
dave,dave
geleceğini,your future
barış,peace
madem,since
yıllık,yearly
tavsiye,recommendation
geliyorlar,they come
idare,administration
tavuk,chicken
okulda,at school
kıza,to the girl
kendisini,himself
ted,ted
bişey,something
şimdiden,already
yapıyorlar,They are doing
kevin,kevin
onda,in it
konuşmam,I don't talk
üzerinden,over 
yarar,benefit
şansın,Your luck
ölecek,it will die
şeyim,my thing
sakıncası,drawback
gözden,out of sight
kayıt,record
joey,Joey
kullan,use
sormak,to ask
ettiler,they
yapılan,done
mil,shaft
hissettim,I felt
yasal,legal
kocam,my husband
bebeği,his baby
ettiği,what
bizde,we have
baskı,oppression
birisin,you are someone
yaptığımız,what we do
annemi,my mother
alalım,Let's take it
İngiliz,English
lee,Lee
savaşı,war
sayılır,sort of
unuttum,I forgot
olmaktan,from being
parlak,shiny
neymiş,what is it
hepimizin,all of us
iz,trace
amerika,America
yakaladım,I caught
şeylerin,your things
kırıklığına,disappointment
vahşi,wild
aşağılık,Despicable
uyuyor,sleeping
sürer,takes
sağlık,health
banka,bank
insanı,human
İkimiz,The two of us
geçirdim,I spent
yangın,fire
yaparken,while
kaçtı,escaped
iyisin,you are good
pazar,Sunday
pete,pete
vermeye,to give
elektrik,electric
binbaşı,major
istemiştim,I wanted
başkanı,chairman
thomas,Thomas
demiştin,you said
yapıp,do and
olmalıyım,I must be
çalıştığını,that you work
bakmayın,do not look
yolculuk,journey
çalıştı,worked
edilmiş,signed
yıllardır,for years
ameliyat,operation
vereyim,let me give
canavar,monster
istiyordum,I wanted
şansımız,Our chances
korku,fear
bırakmak,to leave
eline,in the hands of
ihanet,betrayal
konuşuyorsun,you are talking
luke,Luke
sevdiğini,what you love
tespit,detection
boşver,Nevermind
bunda,in this
farkındayım,I am aware
prenses,princess
düşündün,you thought
yargıç,judge
söylemiş,he said
cumartesi,Saturday
dediğimi,what I said
öldüreceğim,I will kill
tanışmak,to meet
götürün,take it
karışık,mixed
eğitim,education
bilen,knowing
televizyon,television
söylemedi,did not say
değilmiş,not
fransız,French
saç,hair
sonuç,conclusion
etkileyici,influential
doğruyu,the truth
ardından,next
batı,West
nazik,kind
başından,from the beginning
çin,Chinese
görüşmek,to meet 
düğün,wedding
durma,stop
sean,sean
sonuçta,after all
olsaydım,If I was
alma,taking
itibaren,from
gerekirdi,it would have
koç,ram
tehlikeye,to danger
of,Ugh
takımı,team
görevi,task
ordu,army
getirdin,you brought
filan,blah
gecesi,night
polise,to the police
anlaşılan,apperantly
taksi,taxi
lisa,lisa
carter,Carter
çıkacak,will be released
içeride,inside
duruma,to the situation
kazanmak,to win
kar,snow
etmelisin,you should
bunca,so much
kalıyor,staying
bizler,us
şeydi,it was
boşa,intense
bulacağım,I will find
yalancı,liar
kadınla,with a woman
şirket,company 
başlangıç,beginning
müdür,manager
işimiz,Our job
vermeyeceğim,I will not give
bilirsiniz,you know
kağıt,paper
kokuyor,smells
söylediği,what he says
girerim,i enter
dost,friend
söylediğini,what he said
silahlı,armed
matt,matt
kyle,kyle
arabanın,your car
anna,Anna
dönün,turn back
varken,while there
emri,order
inanmıyorum,I don't believe
nedenini,why
anahtar,key
tadını,taste
kardeşi,brother
akıl,mind
kredi,credit
kimdi,who was
söyleyebilirim,I can say
sola,left
şeylere,to things
kurt,Kurd
sus,shush
gönderdi,sent
adi,First Name
inanıyor,believes
yaparız,we do
tecavüz,rape
ortasında,in the middle of
İç,Drink
gösteri,show
ihtiyacınız,you need
olmanı,your being
vurdu,hit
geçirmek,put in
param,my money
kalır,remains
kendinizi,yourself
biriydi,was one
çıkarmak,subtract
ekip,team
rus,Russian
ailen,family
bulundu,found
olacaktı,it would be
etmeliyiz,we must
kaldın,you stayed
scott,scott
tanıştığımıza,to meet
tarih,history
bakıyorsun,you are looking
arayacağım,I will call
örnek,example
peşinden,after
yılda,annually
üstelik,besides
olmanın,Being
baktım,I looked
koruma,protection
istemezsin,you don't want
gene,again
konuşuruz,talking
eğlence,entertainment
dediğini,what you say
daniel,Daniel
onca,all all
kimsiniz,Who are you
yirmi,twenty
teknik,technical
söylediğin,what you say
İşi,Heat
söyleyemem,I can not say
unuttun,you forgot
günlük,daily
fahişe,whore
ulusal,National
parası,money
derken,then
öğleden,noon
hatam,my mistake
merkezi,central
şehirde,in the city
tanesi,germ
umurunda,cares
doğrusu,actually
ediyordum,I was
hakkındaki,about
bulmuş,found
diyorlar,they say
yapmalıyız,We have to do
sevimli,pleasant
bulunan,found
yolun,road
yüzüne,to your face
değişti,changed
burdan,from here
dean,dean
tanımıyorum,I don't recognise
hissediyorsun,you feel
şuradaki,there
mahkeme,court
jones,Jones
kapıdan,through the door
başarısız,unsuccessful
van,van
zenci,black
öldürüldü,killed
boyu,length
gitmeye,to go
mutlaka,definitely
tren,train
kafanı,your head
gecenin,night
vermiş,given
ilişki,relationship
oluruz,we will be
serseri,rascal
okudum,I read
sürtük,slut
dersiniz,you say
mücadele,struggle
maalesef,Unfortunately
vegas,vegas
kaltak,bitch
kuralları,rules
martin,martin
halt,heck
yatağa,To bed
kalacağım,I will stay
çocuklara,To children
cesaret,bravery
dayan,Hang on
sizler,you
buranın,here
yerin,Your place
çekip,pulling
fikri,intellectual
olduğumuz,we are
servis,service
şeyle,with what
dövüş,fight
chloe,chloe
suçu,water seller
elbise,dress
etmeliyim,I have to do
dahi,genius
duygusal,emotional
adamların,your guys
vermem,I do not give
usta,expert
konuşmamız,our talk
dolarlık,dollar
kullanıyor,uses
yaptınız,you did
bakar,looks
şehri,city
evime,to my house
aramaya,to search
denedim,I've tried
tanrıya,to God
kahvaltı,breakfast
karşılık,opposite
yapmayın,do not do
derler,they say
utanç,shame
onur,honour
alakası,relevance
kaybettik,we lost
içindeki,in
söylesene,tell me
bulacağız,we will find
başını,your head
hiçbiri,none
ettiğin,you are
diş,external
ülke,country
zamanın,Your time
tepki,reaction
cok,A lot
getirmek,to bring
sanıyor,thinks
saati,clock
görebiliyorum,I can see
senatör,senator
edici,substitutable
ucuz,cheap
gözüküyor,appears
gaz,gas
otel,hotel
ödeme,payment
İkiniz,Two of you
çalışmaya,to work
telefonda,on the phone
tip,medicine
yaşıyorum,I live
planı,plan
anahtarı,switch
kıpırdama,movement
kalbi,heartland
lois,Lois
kanı,belief
sorabilir,can ask
denen,called
gören,sees
tıbbi,medical
nokta,point
yasak,Forbidden
tanık,witness
yapılmış,made
sefere,on the expedition
sağa,right
işimi,my job
giderim,I will go
şehrin,The city
kalma,stay
heyecan,excitement
sanat,art
isterseniz,if you want
önümüzdeki,next
eh,eh
gördüğün,you see
mıydın,Did you
yahudi,Jewish
nedenle,therefore
muyuz,Are we
demedim,I didn't say
düşünüyorsunuz,you think
ekibi,team
ateşli,hot
intihar,suicide
yerel,local
carl,Carl
gidebilir,can go
federal,federal
düşünmek,to think
sosyal,social
bil,know
sordum,I asked
varım,I exist
gerekmez,not necessary
atış,shot
durdur,stop
km,km
olabilirdi,could have been
ufaklık,kid
olağanüstü,extraordinary
almam,I don't get it
kayboldu,disappeared
nihayet,finally
insanlarla,with people
tv,TV
üstü,top
yapabileceğim,I can do
düşük,low
edersen,if you
oluyorum,I am
ödül,prize
neresi,where  
bekliyorsun,you are waiting
söyleyebilir,can say
tanrı'ya,To God
bozuk,broken
yapılacak,to do
posta,mail
resmen,officially
öyledir,so
derdin,your problem
benimki,mine
kullanmak,to use
İlginç,Interesting
döndüm,I got back
tarihi,date
kamera,camera
cesedi,body
hay,hay
İstersen,If you want
anlamıyorsun,you do not understand
bulun,find
derdi,would say
İşler,Works
uçuş,Flight
ateşi,fire
hayata,To life
birisini,someone
şansım,my luck
etrafında,around
adamsın,You are the man
çalışıyordu,Working
paraya,money
kural,rule
harikaydı,was great
etmesi,to
and,and
gitmiyor,not going
şeylerden,from things
bakıyor,looking
attı,threw
çekmek,to pull
meselesi,matter
değilsiniz,you are not
istemez,unintentionally
ayakta,on foot
tak,plug
sendin,you
duydunuz,you heard
le,le
çocuğa,to the child
kaldık,we stayed
bulup,find and find
bas,head
söylemeliyim,I must say
maç,match
gitmemiz,we go
tanıdığım,I know
sarı,yellow
tuzak,trap
profesyonel,professional
bahsediyorum,I'm talking about
ihtimalle,probably
okuldan,from school
gördüğüme,what I see
ilgi,interest
bırakma,leaving
gerçekte,in reality
evim,my home
eli,his hand
ödünç,on loan
ceza,punishment
saf,pure
şirin,cute
gelirim,I will come
İngilizce,English
genellikle,Generally
çiçek,flower
yara,wound
etmiyorum,I do not
canın,your life
fikrini,your idea
çıkma,emergence
olmazsa,if not
geceleri,at night
keresinde,at all times
kaba,rude
zorla,hardly
kalıp,pattern
anlatmak,to explain
"emredersiniz,""Yes, sir"""
büyü,spell
şirketi,company
takdir,discretion
arabası,car
açıkçası,frankly
hakkımda,about me
jason,jason
bölümü,department
ölümü,death
çalışmıyor,not working
tarafında,on the side of
verebilir,can give
anneme,to my mom
genel,general
hastalık,illness
icin,for
huzur,peace
geliyorsun,You're coming
hastanede,at hospital
aklına,to your mind
gelmeden,before arriving
kadına,to woman
kızıl,red
arabadan,out of the car
sevgi,love
yoğun,busy
verdik,we gave
olunca,when
inşa,construction
içinden,through
yapması,to do
sinyal,signal
anlattı,told
gibidir,like this
öyleydi,That was
seyirler,cruise
haftada,per week
dışına,outside
acayip,strange
getireyim,let me bring
görelim,see
çıkıyorum,getting out
yüzük,ring
göze,to eye
dinlemek,to listen
yürüyün,Walk
öldüren,killing
odaya,in the room
arthur,arthur
tehlike,danger
unutmayın,Remember
bıçak,knife
den,from
öbür,glutton
süt,milk
açıkça,clearly
kafasını,his head
rose,rose
öldürdüm,I killed
birinde,in one
ross,ross
sokak,street
fiziksel,physically
gideyim,let me go
bunlara,to these
simdi,Now
silahları,weapons
seviyorsun,you love
dediğin,you say
etsin,let it
yardımına,to your aid
dev,giant
paramı,my money
kendinden,self -esteem
gönder,Send
eşlik,accompaniment
içmek,to drink
zamanım,my time
araç,vehicle
inan,believe
çocukken,as a child
çocuğum,my child
red,rejection
adımı,my name
nükleer,nuclear
pes,pes
dahaki,more
dert,trouble
verdiler,they gave
günlerde,days
birleşik,unified
sağolun,thanks
haberler,news
kartı,card
şişe,bottle
kilometre,kilometer
derim,I say
yumurta,egg
eksik,missing
sağlıklı,healthy
kutu,box
İçeride,Inside
amerikalı,American
ed,ed
olamazsın,You can't be
gör,see
nathan,Nathan
olmalıyız,we must be
hükümet,government
çıkalım,Let's get out
programı,program
göstereyim,Let me show you
geldiler,they came
düşündüğüm,I think
hanım,woman
nakit,cash
hafif,light
korkuyor,scared
alışveriş,shopping
pişman,regret
kendilerini,themselves
his,feeling
izle,watch
di,diagonal
görmemiştim,I didn't see it
lord,lord
atla,jump
bedava,free
toplantı,meeting
gücünü,your strength
yapmaz,do not do
kendisine,to herself
kontrolü,control
karşısında,against
romantik,romantic
n'aber,What's up
edemezsin,you can't
babasının,your father
çeviren,translated
arayın,call
bakarım,I look
pahalı,expensive
söyleyen,saying
görünce,when you see
indir,download
alice,alice
tıp,medicine
kişilik,personality
eyalet,state
yardımı,assistance
görmüştüm,I had seen
partisi,party
atmak,to throw
basın,Press
çıkardın,you took off
bıktım,I am fed up
ismini,your name
rol,role
stan,stan
aniden,suddenly
verdiğin,you give
sizde,you have
korkma,don't be afraid
ilgilendirmez,unreliable
bildiğin,you know
şerefe,Cheers
temel,basis
hoşgeldiniz,welcome
bitmedi,not over
hele,in particular
katı,thick
karşılığında,in return
köpeği,dog
giderken,on the way
olmasa,if not
hakim,judge
riske,to risk
gelene,to come
geceyi,the night
alacağız,we will take
aksi,opposite
üzücü,sad
dış,external
bardak,glass
arkadaşlarım,my friends
sadık,loyal
yaparsan,if you do
ediyorsunuz,you are
yerlere,to places
buçuk,half
bulmalıyız,we must find
bildiğini,what you know
çıktım,I went out
uyku,sleep
biliyordun,you knew
bilmeni,you know
vampir,vampire
düşünmüyorum,I don't think
testi,testing
gelmişti,it came
gözleri,eyes
emily,emily
geçerli,valid
jenny,Jenny
şüphe,suspicion
cehennem,hell
yapmıyorum,I'm not doing
yazı,writing
ailenin,Your family
kızları,daughters
yakala,Catch
olduğunuz,you are
you,you
tim,team
şişko,fat
kafam,my head
kalbini,your heart
çizgi,line
suya,water
öldürürüm,I kill
kelly,Kelly
st,ST
öncelikle,firstly
farkına,to awareness
kararı,decision
göreceksin,you will see
göstereceğim,I'll show
alarm,alarm
tahliye,evacuation
endişe,anxiety
buldunuz,you found
olmadığına,that
birbirine,each other
andan,from the moment
anlamıyor,does not understand
krizi,crisis
maçı,match
yanı,well
önceydi,before
üyesi,member of
değişiklik,change 
arkada,at the back
sayı,number
almayı,to buy
komutanım,my commander
kapıya,to the door
İnsanları,People
geçici,temporary
gönüllü,voluntarily
çılgınca,crazy
karmaşık,complicated
koyun,sheep
derecede,extent
ayı,bear
vermiyor,does not give
başım,my head
umrumda,I care
aldılar,they took
haberim,my news
seyahat,trip
taze,fresh
söylüyorlar,they say
sezon,season
tuvalete,to the toilet
rock,rock
tanrının,God
işkence,torture
prens,prince
ediyordu,he was
yumuşak,soft
banyo,bath
devlet,state
göreceğiz,We'll see
sevdiğin,your beloved
biter,ends
sorunum,my problem
aşkım,My love
geniş,wide
marcus,Marcus
vaktim,my time
veda,farewell
mahkum,prisoner
arası,between
İkisi,The two
yatakta,in bed
İğrenç,Disgusting
oy,vote
iddia,allegation
taraf,side
rahip,priest
um,um
hızla,quickly
seninki,yours
getirir,brings
annemle,with my mom
mac,match
sanıyorum,I think
bela,darned
hakkı,right
çalıştığım,I work
yılın,year
hayatında,in your life
diğeri,the other
geçirdi,spent
konuştun,you talked
delik,hole
üzerindeki,on you
sorunumuz,Our Problem
neredeydin,where were you?
hissediyor,feels
gemiyi,the ship
kokusu,scent
annene,to your mother
aydır,for the month
yapmanı,you do
yavaşça,slowly
yaşındaki,oldly
duymadım,I did not hear
pazartesi,Monday
denir,called
ettiniz,you did
adalet,justice
şunları,these
randevu,meeting
alanı,area
dediği,what he said
edebilirsin,you can
vücut,body
olmalısınız,You must be
uçağı,the plane
mısır,sweetcorn
hemşire,nurse
yarısını,half
gizlice,secretly
kafana,your head
geleceği,future
konuşuyorum,I'm talking
kurtarmaya,to save
aldığını,what he took
şehre,to the city
aklından,from your mind
olmazdı,it wouldn't be
gitmeden,without going
kendimizi,ourselves
okulu,school
istediğiniz,you want
iletişim,communication
kaybetti,lost
partiye,to party
yaptılar,They did
düşündüğünü,what you think
yapıyordum,I was doing
başkası,somebody else
hazırız,we are ready
verdiğim,what I give
olduğunun,that
anlayamadım,I don't understand  
ölen,dying
tanıyorsun,you know
amy,amy
ağzını,your mouth
başlar,starts
herneyse,Anyway
trafik,traffic
ölür,It is possible
yüzü,face
sonucu,results
izlemek,to watch
bekliyoruz,we are waiting
kart,card
görünmüyor,does not appear
çöp,rubbish
bakacağım,I will look
yapmalıyım,I have to do
merkez,centre
frodo,frodo
victor,Victor
biriyim,I am
den,from
alacaksın,you will get
açıklama,explanation
bilemezsin,you can not know
morgan,Morgan
ekmek,bread
hesap,bill
hırsız,thief
sonrası,post-
edward,Edward
smith,Smith
öldürür,kills
doktora,doctorate
kafası,head
rahatla,relax
babama,to my father
başlamak,to start
verirsen,if you give
anı,moment 
özgürlük,freedom
aslına,to the original
arayan,caller
bakılırsa,in the face of
istiyordu,he wanted
bakarsan,If you look
efendi,master
oğlun,your son
içerisinde,in
planın,Your plan
şeydir,is the thing
yarıyor,it works
çekiyor,attracts
arkasına,behind
yaptıklarını,what they do
istemiyorsun,you do not want
girmiş,inserted
atın,throw away
gösterir,shows
gündür,for the day
video,video
çalışırken,while working
düşündüğün,you think
geldiğin,you come
sara,epilepsy
milyonlarca,millions
geldiği,it came
çekti,pulled
kımıldama,movement
gideceksin,you will go
görünen,visible
öne,what's that
vaktimiz,Our time
gemisi,ship
halk,people
ilan,advert 
ağzına,in your mouth
doğrudan,directly
hassas,sensitive
kısmını,part
elimi,my hand
jeff,Jeff
günden,from day to day
mucize,miracle
temsil,representation
etmedi,did not
öğrenci,student
gideriz,we go
annie,Annie
lucy,lucy
göğüs,chest
olmaması,lack of
er,error
çekin,pull
yaş,age
susan,Susan
bari,at least
otobüs,bus
duyduğuma,when I heard
gerektiği,that
kişiler,persons
beyefendi,gentlemen
dördüncü,fourth
lordum,my lord
halinde,in case of
duş,shower
etmen,factor
aldığım,I bought
oynuyor,playing
yüzlerce,hundreds of
jackie,Jackie
korkuyorsun,you are afraid
günah,sin
kuru,dry
ipucu,clue
tanıdık,familiar
hepimizi,all of us
canı,villain
koku,smell
ağaç,tree
izleri,traces
duyduğum,what I hear
ölüyor,is happening
gelirse,if it comes
babanı,Your father
havada,in the air
düşünmeye,to think
olmuştur,has been
oğlumu,my son
etmedim,I didn't
veriyorsun,you give
seven,loving
cam,pine
aramak,to call
yeteri,sufficient
rüzgar,wind
lucas,Lucas
gitmiyorum,I'm not going
geçer,passing
toprak,soil
kırık,broken
net,net
bilet,ticket
unutmuşum,I forgot
yaralı,wounded
pizza,pizza
ölümcül,fatal
heyecanlı,excited
bileyim,I know
geçecek,will pass
sorum,My question
garanti,guarantee
üstesinden,overcoming
fare,mouse
oku,read
konuşacak,will talk
anlamak,to understand
bravo,Bravo
alabilirsin,you can take
gizemli,mysterious
tuttum,I held it
babana,to your father
soruyorum,I'm asking
orayı,there
anneni,Your mom
savaşa,to war
dikkatini,your attention
gördüğünü,what you see
masa,table
olduk,we have
bendim,it was me
phil,Phil
kirli,dirty
şişman,fat
sandın,you thought
gelsin,come and come
düşünüyoruz,we think
yapamaz,can not do
kullanarak,using
yazar,writer
kadınları,women
tutuyor,holding
bırakalım,let's leave
hoşgeldin,Welcome
paket,package
anlayamıyorum,I can not understand
sürdü,continued
İçki,Drink
biliyorlar,they know
gibiyim,I'm like
eşcinsel,gay
denemek,to try
katta,on the floor
benzin,gasoline
emekli,retired
mm,mm
gelmesini,to come
geçmek,to go past
başardın,you succeeded
yaklaşıyor,approaching
evlenmek,to marry
yüzüğü,ring
belaya,in trouble
anlarsın,you understand
alakalı,relevant
dönecek,will return
kalacaksın,you will stay
keskin,sharp
dönüş,return
delilik,madness
öylesine,at random
gemiye,on board
sürecek,will continue
seferinde,at the time
konuşacağım,I will talk
hissetmiyorum,I do not feel
açığa,respected
sürede,in time
başardık,We succeeded
ayakkabı,shoe
bekliyordum,I was waiting
herifin,your guy
şok,shock
götüreceğim,I will take
maymun,monkey
bekleyen,waiting
ruhu,spirit
hepsinin,All of them
katılıyorum,I agree
iste,at work
elveda,farewell
sorular,Questions
yaşındayken,when he was
kraliçe,queen
güzelmiş,it's nice
farkı,difference
verildi,given
sonrasında,after that
yardımcısı,assistant
yaşıyorsun,You live
görüşme,meeting
uçağa,plane
bitir,finish it
neyle,with what
simon,Simon
silahlar,weaponry
yapmalısın,you should do
jackson,Jackson
yapmayacağım,I will not do
sevdiği,love
amacı,purpose
kasaba,town
dakikada,per minute
sipariş,order
korkak,coward
i,I
mutluluk,happiness
hapiste,in prison
paranın,Your money
hasar,damage
yaratık,creature
oğlan,boy
biridir,is one
etkisi,impact
çaldı,stolen
şikayet,complaint
yaşa,law
yaptıkları,what they do
kaybettin,you lost
tanıştım,I met
geminin,ship
ışığı,light
gidebilirsin,you can go
bakış,view
fırsatı,the opportunity
arıyoruz,we're searching
kazandı,won
kötüsü,worse
duymuştum,I heard
makine,machine
dondurma,ice cream
bulamadım,I couldn't find
yetişkin,adult
lex,lex
kimlik,identity
vince,vince
girdim,I entered
faydası,benefits
it,pushing
olalım,let's be
sahne,scene
gittiler,they went
birisinin,someone
ederek,by
takma,pseudonym
to,to
yetenekli,talented
hayatına,to your life
İzninizle,With your permission
oyuna,game
müsaade,permit
kazandım,I won
yapardım,I used to do it
alıyorsun,you buy
getireceğim,I will bring
gözünü,your eye
seçenek,choice
renk,colour
gözü,eye
vereceksin,you will give
durdu,stoped
dönelim,Let's get back
zafer,victory
hastane,hospital
bayılıyorum,I love
evini,home
kusursuz,flawless
robin,Robin
kralı,King of
oluyorsun,you are
sohbet,chat
çalışacağım,I will work
haftaya,next week
gelme,coming
gerekeni,what is necessary
kendinize,To yourself
demiş,said
temin,recruitment
evimde,in my house
sıfır,none 
arkadaşların,your friends
etmiştim,I had
bulur,finds
derek,derek
yakından,closely
belediye,council
arıyordum,I was looking
bina,building
beklemek,to wait
yaradı,it worked
huh,huh
oyuncak,toy
gitmedi,did not go
canımı,my life
sür,driving
olmasaydı,if not
sözü,word
gergin,moody
tatil,holiday
roger,Roger
olmadığımı,that I am not
komutan,commander
radyo,radio
patates,potatoes
uğruna,for the sake of
olaylar,events
sigorta,insurance
motor,engine
bulurum,I find
pilot,pilot
ederken,while
durup,stopping
gitmelisin,you should go
yapmadı,did not do
yokmuş,there was no
gördük,We saw
louis,louis
grubu,group
şaşırtıcı,amazing
kapatın,close
etmeden,uninterruptedly
arkadaşları,friends
götürmek,take away
patlama,explosion
güzelsin,you are beautiful
beğendim,I like 
yorgun,tired
belada,in trouble
arkadaşını,your friend
kaçırdın,you missed
yedek,spare
girer,enters
madde,article
olursan,if you
aynısını,the same
demir,iron
tadı,its taste
gösterdi,showed
çözüm,solution
başta,first
kadınların,women
dna,DNA
fred,fred
olayın,your event
kalabalık,busy
hank,Hank
program,program
şiddet,violence
görebilir,can see
miydim,was I
altından,under
uzağa,away
yılan,snake
izni,permission
içindir,for
başladın,you started
dönmüş,frozen
getiren,brutally
deneme,attempt
kalmaz,not stay
göt,ass
kurtarma,recovery
İnanamıyorum,I cant believe
öğrendin,you learned
sanmam,I do not think so
görür,sees
kaynağı,source
öpücük,kiss
geçmişte,in the past
alet,tool
fırtına,storm
duvara,to Wall
cenaze,funeral
peşine,after
sokakta,on the street
çıkardı,he took off
julie,julie
kod,code
ülkenin,country
tyler,Tyler
tehlikede,in danger
verelim,let's give
paranı,Your money
oyuncu,actor
topla,gather
grace,Grace
homer,Homer
mesajı,message
olmayabilir,may not be
düşünün,think
anladınız,you understand
arkaya,back
açıdan,as well as
aldığı,receiving
götürecek,to take
yumruk,fist
sistem,system
görüntü,image
gidiyorsunuz,you go
metal,Metal
idi,was
sordu,asked
bırakıyorum,i leave
müşteri,customer
edemez,unable to
çikolata,chocolate
edebiliriz,we can
görmüyor,does not see
madam,madam
eşyalarını,their belongings
intikam,revenge
maria,maria
manyak,maniac
çalışıyorlar,they work
kurtulmak,to be saved
ölüme,to death
ihtiyaçları,needs
sırası,sequence
öyleyim,I am
herkesten,from everyone
kapının,door
olabiliriz,we can be
randy,Randy
kibar,kind
haberin,news
yerinden,out of place
arkanı,your back
olmamış,unreasonable
karen,karen
arkadaşının,Your friend
nesin,nesin
oldugunu,that
elimizden,from our hands
eş,spouse
konuşurken,while talking
alıyoruz,we buy
olsan,if you
büyükanne,grandmother
tatmin,satisfaction
düşünmemiştim,I didn't think
robot,robot
gerçi,though
öteki,other
kaçmak,to escape
şükürler,thank you
istiyorsanız,If you want
doug,doug
gerekiyorsa,if necessary
devre,circuit
kurtardı,saved
ten,skin
saldırıya,attack
salı,Tuesday
geçin,go through
değiştirmek,to change
howard,Howard
öldürdüğünü,that you killed
çıkmaya,to go out
tan,tan
erdi,he tired
koydum,I put
golf,golf
terry,Terry
minik,tiny
soracağım,I will ask
cezası,penalty
makinesi,machine
birinden,from someone
yüzüme,on my face
beğendin,liked
dolara,to the dollar
tuvalet,toilet
çağır,call
bebeğin,Your baby
buyrun,come in
bırakmış,left -wing
minnettarım,I am grateful
pembe,pink
yerim,I eat
anlamaya,to understand
mermi,bullet
süreliğine,for a while
izini,trail
havalı,airy
geliyoruz,we are coming
öldürme,kill
yetecek,sufficient
yaşasın,Long live
kafasına,on your head
geçip,passing through
bakıp,looking at
davranıyorsun,you act
korumaya,to protect
kurbanın,victim
olmamız,we are not
açmak,open
mahkemeye,to court
güne,to the day
yakalayın,Capture
oturuyor,sitting
herifler,guys
meyve,fruit
kardeşini,your brother
bayılırım,i love it
bruce,bruce
roy,Roy
fazladan,extra
laf,word
halen,currently
oydu,he was
gitmesine,to go
katılmak,to join
numarayı,number
giriyor,it is entering
işlerini,their work
melek,angel
mektubu,letter
atıyor,throws
döner,rotary
üniversite,university
başın,Press
kadarı,as far as
şaşırdım,I am shocked
haberleri,news
gelmeye,to come
yıldızı,star
yıldan,from the year
düşünce,thought
kaldırın,Remove
katie,Katie
dersi,course
bilmen,knowing
birilerini,someone
diyorsunuz,you say
miles,Miles
talep,request
kaybı,loss
savaşta,in the war
elizabeth,Elizabeth
sabit,still
bıraktın,you left
oldukları,they are
bugünkü,current
ertesi,next
babamla,with my dad
olsaydın,if you were
esas,basis
duygu,feeling
hoşlanıyorum,I like
seri,sherry
kilitli,locked
tekisin,you are one
diyebilirim,I can say
yaptığınız,what you do
bayıldım,I love it
görmedin,you did not see
gündüz,daytime
marty,marty
deri,skin
olacaksınız,you will be
kalmayacak,no longer
yahu,Yahu
içindi,for
fazlasıyla,more than enough
içi,intra-
nin,n
yazdım,I wrote
koru,protect
düz,straight
yemeğine,To dinner
kocası,her husband
bahsetti,talked
kişiye,to person
yedin,you ate
kaybetmek,to lose
nişan,April
sevdiğimi,I love
eskisi,old one
cadı,witch
değildin,you were not
verebilirim,I can give
kalbim,my heart
gittikçe,gradually
pasta,cake
barry,Barry
inanmak,to believe
sorunları,problems
paran,your money
vermelisin,you should give
acıyor,It hurts
bahsediyoruz,we are talking
haklıydın,you were right
kaydı,registration
taylor,Taylor
tebrik,greeting
temas,contact
vuruldu,was shot
görmüyorum,I do not see
çocuklarla,with children
anahtarları,keys
eller,hands
ettiğimi,that I did
felaket,disaster
geldiğiniz,you come
annenle,With your mother
önemsiz,insignificant
risk,risk
sandviç,sandwich
olmamı,not to be
model,model
ayrıldı,Left
şanslısın,you are lucky
girdin,you entered
kadeh,glass
kilise,church
kimseyle,with anyone
aldınız,you bought
abby,Abby
kazanan,winning
gördüğünüz,you see
rahibe,nun
etrafı,around
sevmem,I do not like
lily,lily
ellerinde,in the hands of
sonsuz,forever
dik,steep
japon,Japanese
kıçına,to your ass
raporu,report
telefonunu,phone
sonuçları,results
sensiz,without you
hapishane,prison
operasyon,operation
sağlamak,to ensure
çığlık,scream
başının,your head
hile,cheat
durdurmak,stop
verilen,given
hikayeyi,the story
otuz,thirty
yanıyor,on fire
bakan,minister
kızımı,my daughter
kanser,cancer
alırsın,you get
bilinen,known
lezzetli,tasty
roma,Rome
suçun,your crime
hayvanlar,animals
çalışır,works
söylemeyi,to say
hastalığı,illness
kılıç,sword
demişti,he said
düşünme,thinking
sihirli,magic
müfettiş,inspector
herifi,heroic
kapıları,gates
tavşan,rabbit
buluruz,we find
ayda,monthly
çıktın,you came out
kamp,camp
verip,giving
umuyorum,I hope
kanun,law
yağ,oil
erkeğin,your man
noeller,Christmas
ederdim,I would
başlayacak,will begin
hoşlanıyor,likes
nate,nate
kimden,from who
tabiki,Of course
patrick,patrick
akıllıca,wisely
karşıya,across
düşmüş,fallen
toz,dust
beşinci,fifth
müziği,music
tur,type
sarışın,blonde
sakinleş,calm down
olabilirler,can be
normalde,normally
İster,Whether...or
yokken,when there is no
gitmen,you go
vergi,tax
olanlardan,from what happened
uzman,expert
güvenliği,safety
yapıyordu,he was doing
helen,helen
